time (min),count,cpm,uSv/h,uSv/hError
0.0,1,0.000,0.000,0.000
0.0,0,0.000,0.000,0.000
0.36,0,5.714,0.108,0.076
0.69,0,4.390,0.083,0.048
1.35,0,3.000,0.057,0.028
1.54,0,3.261,0.061,0.027
1.62,0,3.711,0.070,0.029
1.7,0,4.118,0.078,0.029
2.29,0,3.504,0.066,0.023
2.32,0,3.885,0.073,0.024
2.85,0,3.509,0.066,0.021
3.01,0,3.667,0.069,0.021
3.27,0,3.673,0.069,0.020
3.9,0,3.348,0.063,0.018
4.01,0,3.500,0.066,0.018
4.53,0,3.321,0.063,0.016
4.63,0,3.466,0.065,0.016
4.68,0,3.643,0.069,0.017
6.15,0,2.927,0.055,0.013
6.67,0,2.850,0.054,0.012
6.71,0,2.985,0.056,0.013
7.04,0,2.986,0.056,0.012
7.96,0,2.767,0.052,0.011
8.2,0,2.811,0.053,0.011
8.42,0,2.851,0.054,0.011
9.18,0,2.727,0.051,0.010
10.77,0,2.415,0.046,0.009
10.86,0,2.488,0.047,0.009
11.17,0,2.507,0.047,0.009
11.18,0,2.597,0.049,0.009
11.18,0,2.683,0.051,0.009
11.56,0,2.684,0.051,0.009
11.76,0,2.723,0.051,0.009
11.91,0,2.773,0.052,0.009
12.06,0,2.822,0.053,0.009
12.3,0,2.846,0.054,0.009
12.52,0,2.876,0.054,0.009
12.99,0,2.850,0.054,0.009
13.02,0,2.923,0.055,0.009
13.06,0,2.989,0.056,0.009
14.11,0,2.837,0.053,0.008
14.61,0,2.808,0.053,0.008
15.46,0,2.718,0.051,0.008
15.58,0,2.762,0.052,0.008
15.64,0,2.814,0.053,0.008
15.94,0,2.824,0.053,0.008
16.12,0,2.857,0.054,0.008
16.28,0,2.889,0.054,0.008
17.17,0,2.796,0.053,0.008
17.88,0,2.743,0.052,0.007
18.4,0,2.774,0.052,0.007
18.52,0,2.808,0.053,0.007
18.54,0,2.860,0.054,0.007
18.61,0,2.903,0.055,0.007
19.21,0,2.865,0.054,0.007
19.43,0,2.884,0.054,0.007
19.6,0,2.911,0.055,0.007
19.63,0,2.957,0.056,0.007
19.73,0,2.992,0.056,0.007
20.1,0,2.950,0.056,0.007
20.12,0,3.000,0.057,0.007
20.18,0,3.050,0.058,0.007
20.44,0,3.050,0.058,0.007
20.82,0,3.050,0.058,0.007
21.24,0,3.100,0.058,0.007
21.27,0,3.150,0.059,0.007
21.69,0,3.000,0.057,0.007
21.9,0,3.050,0.058,0.007
22.11,0,3.100,0.058,0.007
22.16,0,3.150,0.059,0.007
22.59,0,3.100,0.058,0.007
22.8,0,3.150,0.059,0.007
22.94,0,3.100,0.058,0.007
23.51,0,3.100,0.058,0.007
23.98,0,3.100,0.058,0.007
24.08,0,3.100,0.058,0.007
24.09,0,3.150,0.059,0.007
24.47,0,3.200,0.060,0.008
24.5,0,3.250,0.061,0.008
24.58,0,3.250,0.061,0.008
24.94,0,3.200,0.060,0.008
25.0,0,3.250,0.061,0.008
25.25,0,3.300,0.062,0.008
26.09,0,3.350,0.063,0.008
27.19,0,3.200,0.060,0.008
27.22,0,3.250,0.061,0.008
27.31,0,3.300,0.062,0.008
27.74,0,3.350,0.063,0.008
28.03,0,3.350,0.063,0.008
28.5,0,3.300,0.062,0.008
29.76,0,3.300,0.062,0.008
29.8,0,3.350,0.063,0.008
30.03,0,3.400,0.064,0.008
30.12,0,3.450,0.065,0.008
30.19,0,3.500,0.066,0.008
30.22,0,3.550,0.067,0.008
31.19,0,3.350,0.063,0.008
31.27,0,3.400,0.064,0.008
31.46,0,3.450,0.065,0.008
31.91,0,3.350,0.063,0.008
32.66,0,3.250,0.061,0.008
33.09,0,3.150,0.059,0.007
33.57,0,3.200,0.060,0.008
33.72,0,3.250,0.061,0.008
33.79,0,3.300,0.062,0.008
34.08,0,3.350,0.063,0.008
34.22,0,3.350,0.063,0.008
34.58,0,3.400,0.064,0.008
35.73,0,3.250,0.061,0.008
35.8,0,3.300,0.062,0.008
36.1,0,3.300,0.062,0.008
36.83,0,3.250,0.061,0.008
37.65,0,3.250,0.061,0.008
37.8,0,3.300,0.062,0.008
38.05,0,3.300,0.062,0.008
38.18,0,3.350,0.063,0.008
38.23,0,3.400,0.064,0.008
39.04,0,3.200,0.060,0.008
39.25,0,3.200,0.060,0.008
39.35,0,3.250,0.061,0.008
39.49,0,3.250,0.061,0.008
39.83,0,3.150,0.059,0.007
40.05,0,3.150,0.059,0.007
40.2,0,3.100,0.058,0.007
40.35,0,3.150,0.059,0.007
40.39,0,3.200,0.060,0.008
42.78,0,2.750,0.052,0.007
42.8,0,2.800,0.053,0.007
43.79,0,2.750,0.052,0.007
44.07,0,2.650,0.050,0.007
46.87,0,2.350,0.044,0.006
47.05,0,2.400,0.045,0.007
47.13,0,2.400,0.045,0.007
47.64,0,2.350,0.044,0.006
48.72,0,2.250,0.042,0.006
50.45,0,2.000,0.038,0.006
50.64,0,2.050,0.039,0.006
51.16,0,2.050,0.039,0.006
51.18,0,2.100,0.040,0.006
53.06,0,1.900,0.036,0.006
54.28,0,1.700,0.032,0.005
54.53,0,1.700,0.032,0.005
55.21,0,1.750,0.033,0.006
55.35,0,1.800,0.034,0.006
55.72,0,1.750,0.033,0.006
55.79,0,1.800,0.034,0.006
56.14,0,1.800,0.034,0.006
57.09,0,1.800,0.034,0.006
57.16,0,1.850,0.035,0.006
57.26,0,1.850,0.035,0.006
57.49,0,1.900,0.036,0.006
57.52,0,1.950,0.037,0.006
57.64,0,1.950,0.037,0.006
58.07,0,1.900,0.036,0.006
58.21,0,1.850,0.035,0.006
58.43,0,1.900,0.036,0.006
58.58,0,1.950,0.037,0.006
58.75,0,2.000,0.038,0.006
60.67,0,1.600,0.030,0.005
60.99,0,1.650,0.031,0.005
62.03,0,1.700,0.032,0.005
62.37,0,1.750,0.033,0.006
62.68,0,1.800,0.034,0.006
62.8,0,1.750,0.033,0.006
63.61,0,1.800,0.034,0.006
64.55,0,1.750,0.033,0.006
64.72,0,1.800,0.034,0.006
65.24,0,1.850,0.035,0.006
66.73,0,1.900,0.036,0.006
66.89,0,1.900,0.036,0.006
67.06,0,1.900,0.036,0.006
67.52,0,1.900,0.036,0.006
67.96,0,1.900,0.036,0.006
68.83,0,1.900,0.036,0.006
69.02,0,1.950,0.037,0.006
69.41,0,2.000,0.038,0.006
69.49,0,2.050,0.039,0.006
69.94,0,2.100,0.040,0.006
70.08,0,2.150,0.041,0.006
70.34,0,2.200,0.041,0.006
70.37,0,2.250,0.042,0.006
70.63,0,2.200,0.041,0.006
70.68,0,2.250,0.042,0.006
70.73,0,2.300,0.043,0.006
71.73,0,2.250,0.042,0.006
72.08,0,2.300,0.043,0.006
72.4,0,2.350,0.044,0.006
72.83,0,2.400,0.045,0.007
73.23,0,2.400,0.045,0.007
73.66,0,2.450,0.046,0.007
74.46,0,2.450,0.046,0.007
74.48,0,2.500,0.047,0.007
74.59,0,2.500,0.047,0.007
75.44,0,2.450,0.046,0.007
76.01,0,2.400,0.045,0.007
76.67,0,2.400,0.045,0.007
76.74,0,2.450,0.046,0.007
76.91,0,2.500,0.047,0.007
77.35,0,2.450,0.046,0.007
77.74,0,2.350,0.044,0.006
78.5,0,2.250,0.042,0.006
78.6,0,2.250,0.042,0.006
78.79,0,2.250,0.042,0.006
79.19,0,2.300,0.043,0.006
79.41,0,2.350,0.044,0.006
80.01,0,2.400,0.045,0.007
80.79,0,2.400,0.045,0.007
81.0,0,2.400,0.045,0.007
81.14,0,2.450,0.046,0.007
81.46,0,2.500,0.047,0.007
81.64,0,2.550,0.048,0.007
81.71,0,2.600,0.049,0.007
81.79,0,2.650,0.050,0.007
81.92,0,2.700,0.051,0.007
82.08,0,2.700,0.051,0.007
82.2,0,2.750,0.052,0.007
82.33,0,2.750,0.052,0.007
82.53,0,2.800,0.053,0.007
82.86,0,2.750,0.052,0.007
82.93,0,2.800,0.053,0.007
83.84,0,2.800,0.053,0.007
84.52,0,2.800,0.053,0.007
84.62,0,2.850,0.054,0.007
84.81,0,2.850,0.054,0.007
84.95,0,2.900,0.055,0.007
