time(ms),count,cpm,uSv/h,uSv/hError
0,1,0.000,0.000,0.000
55,0,0.000,0.000,0.000
9793,0,13.333,0.251,0.178
62675,0,2.903,0.055,0.032
94031,0,2.553,0.048,0.024
98071,0,3.061,0.058,0.026
100637,0,3.600,0.068,0.028
111677,0,3.784,0.071,0.027
132317,0,3.636,0.069,0.024
137085,0,3.942,0.074,0.025
214257,0,2.804,0.053,0.017
238275,0,2.773,0.052,0.016
250839,0,2.880,0.054,0.016
285194,0,2.737,0.052,0.014
394213,0,2.132,0.040,0.011
433417,0,2.079,0.039,0.010
458176,0,2.096,0.040,0.010
476341,0,2.143,0.040,0.010
603304,0,1.791,0.034,0.008
665562,0,1.714,0.032,0.007
707997,0,1.697,0.032,0.007
742341,0,1.698,0.032,0.007
774097,0,1.628,0.031,0.007
780710,0,1.692,0.032,0.007
822781,0,1.679,0.032,0.007
857997,0,1.680,0.032,0.006
872463,0,1.720,0.032,0.006
1070173,0,1.458,0.027,0.005
1128361,0,1.436,0.027,0.005
1175117,0,1.430,0.027,0.005
1207033,0,1.350,0.025,0.005
1257315,0,1.400,0.026,0.005
1276261,0,1.400,0.026,0.005
1289627,0,1.450,0.027,0.005
1301464,0,1.350,0.025,0.005
1339450,0,1.250,0.024,0.005
1379636,0,1.300,0.025,0.005
1383262,0,1.350,0.025,0.005
1397066,0,1.400,0.026,0.005
1420093,0,1.400,0.026,0.005
1424183,0,1.450,0.027,0.005
1428642,0,1.500,0.028,0.005
1430132,0,1.550,0.029,0.005
1584163,0,1.450,0.027,0.005
1617923,0,1.450,0.027,0.005
1632792,0,1.450,0.027,0.005
1672446,0,1.450,0.027,0.005
1691028,0,1.450,0.027,0.005
1734888,0,1.500,0.028,0.005
1788867,0,1.550,0.029,0.005
1798917,0,1.600,0.030,0.005
1814916,0,1.600,0.030,0.005
1846143,0,1.650,0.031,0.005
1879922,0,1.650,0.031,0.005
1925567,0,1.650,0.031,0.005
1941499,0,1.650,0.031,0.005
1955968,0,1.700,0.032,0.005
1963799,0,1.750,0.033,0.006
2002600,0,1.750,0.033,0.006
2044389,0,1.750,0.033,0.006
2050371,0,1.800,0.034,0.006
2050705,0,1.850,0.035,0.006
2061038,0,1.850,0.035,0.006
2064735,0,1.900,0.036,0.006
2080193,0,1.900,0.036,0.006
2106506,0,1.900,0.036,0.006
2130607,0,1.950,0.037,0.006
2185285,0,2.000,0.038,0.006
2204251,0,2.050,0.039,0.006
2224709,0,2.100,0.040,0.006
2249277,0,2.150,0.041,0.006
2378598,0,2.050,0.039,0.006
2393111,0,2.100,0.040,0.006
2394171,0,2.150,0.041,0.006
2459606,0,2.100,0.040,0.006
2461088,0,2.150,0.041,0.006
2466645,0,2.200,0.041,0.006
2477113,0,2.200,0.041,0.006
2511695,0,2.150,0.041,0.006
2545945,0,2.150,0.041,0.006
2557466,0,2.200,0.041,0.006
2574535,0,2.200,0.041,0.006
2589679,0,2.200,0.041,0.006
2647453,0,2.000,0.038,0.006
2670956,0,2.050,0.039,0.006
2672408,0,2.100,0.040,0.006
2702875,0,2.150,0.041,0.006
2740142,0,2.200,0.041,0.006
2777400,0,2.250,0.042,0.006
2803522,0,2.250,0.042,0.006
2878252,0,2.150,0.041,0.006
2919972,0,2.150,0.041,0.006
2958277,0,2.150,0.041,0.006
2998340,0,2.100,0.040,0.006
3010723,0,2.150,0.041,0.006
3043783,0,2.100,0.040,0.006
3068886,0,2.150,0.041,0.006
3087984,0,2.150,0.041,0.006
3090561,0,2.200,0.041,0.006
3170220,0,2.050,0.039,0.006
3197993,0,2.100,0.040,0.006
3231372,0,2.100,0.040,0.006
3315894,0,1.850,0.035,0.006
3337391,0,1.850,0.035,0.006
3376858,0,1.900,0.036,0.006
3435699,0,1.800,0.034,0.006
3451486,0,1.800,0.034,0.006
3469673,0,1.850,0.035,0.006
3470018,0,1.900,0.036,0.006
3560173,0,1.950,0.037,0.006
3567988,0,2.050,0.039,0.006
3609473,0,1.950,0.037,0.006
3610550,0,2.000,0.038,0.006
3627641,0,2.050,0.039,0.006
3632871,0,2.100,0.040,0.006
3665275,0,2.050,0.039,0.006
3674626,0,2.000,0.038,0.006
3772372,0,1.900,0.036,0.006
3805694,0,1.850,0.035,0.006
3808702,0,1.900,0.036,0.006
3842860,0,1.950,0.037,0.006
3855808,0,1.950,0.037,0.006
3876212,0,1.900,0.036,0.006
3879971,0,1.950,0.037,0.006
3888919,0,2.000,0.038,0.006
3914626,0,2.050,0.039,0.006
3929461,0,2.100,0.040,0.006
3934230,0,2.150,0.041,0.006
3951811,0,2.150,0.041,0.006
4056363,0,2.100,0.040,0.006
4058929,0,2.150,0.041,0.006
4078379,0,2.150,0.041,0.006
4108560,0,2.200,0.041,0.006
4129392,0,2.200,0.041,0.006
4179193,0,2.200,0.041,0.006
4188852,0,2.250,0.042,0.006
4221710,0,2.200,0.041,0.006
4228373,0,2.250,0.042,0.006
4249875,0,2.250,0.042,0.006
4260219,0,2.300,0.043,0.006
4263555,0,2.350,0.044,0.006
4282091,0,2.350,0.044,0.006
4297351,0,2.300,0.043,0.006
