time (min),count,cpm,uSv/h,uSv/hError
0.0,0,0.000,0.000,0.000
0.54,0,1.875,0.035,0.035
0.76,0,2.667,0.050,0.036
1.01,0,3.000,0.057,0.033
1.05,0,3.810,0.072,0.036
1.43,0,3.529,0.067,0.030
2.07,0,2.903,0.055,0.022
2.1,0,3.840,0.072,0.026
2.17,0,4.154,0.078,0.026
2.22,0,4.962,0.094,0.028
2.23,0,5.373,0.101,0.029
2.54,0,5.132,0.097,0.027
3.08,0,4.565,0.086,0.023
3.49,0,4.306,0.081,0.021
3.56,0,4.507,0.085,0.021
3.64,0,4.679,0.088,0.021
3.9,0,4.635,0.087,0.021
4.12,0,4.615,0.087,0.020
4.31,0,4.651,0.088,0.020
4.49,0,4.684,0.088,0.019
4.8,0,4.599,0.087,0.018
5.27,0,4.367,0.082,0.017
5.29,0,4.543,0.086,0.017
5.41,0,4.630,0.087,0.017
5.46,0,4.771,0.090,0.018
5.48,0,4.939,0.093,0.018
6.06,0,4.628,0.087,0.016
6.22,0,4.665,0.088,0.016
6.27,0,4.787,0.090,0.016
6.71,0,4.627,0.087,0.016
7.18,0,4.465,0.084,0.015
8.65,0,3.815,0.072,0.013
8.81,0,3.864,0.073,0.012
9.35,0,3.750,0.071,0.012
9.95,0,3.618,0.068,0.011
10.14,0,3.651,0.069,0.011
11.25,0,3.383,0.064,0.010
11.75,0,3.319,0.063,0.010
11.89,0,3.366,0.063,0.010
12.09,0,3.393,0.064,0.010
12.67,0,3.316,0.063,0.010
12.85,0,3.424,0.065,0.010
13.32,0,3.379,0.064,0.009
13.44,0,3.424,0.065,0.010
13.87,0,3.389,0.064,0.009
13.93,0,3.449,0.065,0.009
13.94,0,3.517,0.066,0.009
14.67,0,3.409,0.064,0.009
15.34,0,3.326,0.063,0.009
15.4,0,3.377,0.064,0.009
16.39,0,3.235,0.061,0.008
16.96,0,3.186,0.060,0.008
17.09,0,3.220,0.061,0.008
17.1,0,3.337,0.063,0.008
17.44,0,3.327,0.063,0.008
17.72,0,3.330,0.063,0.008
18.26,0,3.288,0.062,0.008
18.28,0,3.339,0.063,0.008
18.32,0,3.385,0.064,0.008
19.67,0,3.203,0.060,0.008
20.06,0,3.200,0.060,0.008
20.16,0,3.250,0.061,0.008
20.27,0,3.300,0.062,0.008
20.47,0,3.350,0.063,0.008
20.91,0,3.300,0.062,0.008
21.07,0,3.250,0.061,0.008
21.49,0,3.250,0.061,0.008
21.83,0,3.300,0.062,0.008
21.88,0,3.350,0.063,0.008
21.95,0,3.400,0.064,0.008
22.16,0,3.250,0.061,0.008
22.63,0,3.100,0.058,0.007
23.03,0,3.100,0.058,0.007
23.41,0,3.100,0.058,0.007
24.1,0,3.000,0.057,0.007
24.28,0,2.950,0.056,0.007
24.54,0,2.900,0.055,0.007
25.31,0,2.800,0.053,0.007
25.37,0,2.850,0.054,0.007
25.75,0,2.750,0.052,0.007
26.67,0,2.600,0.049,0.007
26.7,0,2.650,0.050,0.007
26.89,0,2.650,0.050,0.007
27.69,0,2.650,0.050,0.007
27.82,0,2.700,0.051,0.007
27.83,0,2.750,0.052,0.007
28.41,0,2.800,0.053,0.007
29.23,0,2.750,0.052,0.007
29.55,0,2.750,0.052,0.007
29.58,0,2.800,0.053,0.007
32.14,0,2.550,0.048,0.007
32.15,1,2.600,0.049,0.007
32.15,0,2.600,0.049,0.007
32.15,0,2.600,0.049,0.007
