time (min),count,cpm,uSv/h,uSv/hError
0.0,1,0.000,0.000,0.000
0.0,0,0.000,0.000,0.000
0.23,0,9.231,0.174,0.123
0.72,0,4.186,0.079,0.046
1.51,0,2.667,0.050,0.025
2.66,0,1.887,0.036,0.016
2.77,0,2.169,0.041,0.017
2.95,0,2.386,0.045,0.017
2.97,0,2.697,0.051,0.018
3.21,0,2.813,0.053,0.018
3.24,0,3.093,0.058,0.018
3.72,0,2.960,0.056,0.017
3.83,0,2.882,0.054,0.016
5.71,0,2.105,0.040,0.011
6.0,0,2.167,0.041,0.011
6.59,0,2.127,0.040,0.011
6.85,0,2.195,0.041,0.011
7.24,0,2.212,0.042,0.010
7.32,0,2.323,0.044,0.011
7.66,0,2.353,0.044,0.010
7.75,0,2.457,0.046,0.011
8.06,0,2.484,0.047,0.010
8.31,0,2.530,0.048,0.010
8.37,0,2.629,0.050,0.011
8.38,0,2.749,0.052,0.011
8.82,0,2.722,0.051,0.010
8.93,0,2.799,0.053,0.011
9.08,0,2.868,0.054,0.011
9.12,0,2.962,0.056,0.011
9.42,0,2.979,0.056,0.011
9.53,0,3.042,0.057,0.011
9.9,0,3.030,0.057,0.010
10.12,0,3.064,0.058,0.010
10.31,0,3.107,0.059,0.010
10.35,0,3.188,0.060,0.010
10.5,0,3.238,0.061,0.010
10.81,0,3.241,0.061,0.010
11.13,0,3.234,0.061,0.010
11.85,0,3.122,0.059,0.010
12.19,0,3.119,0.059,0.010
12.71,0,3.071,0.058,0.009
13.09,0,3.057,0.058,0.009
13.22,0,3.102,0.058,0.009
13.96,0,3.011,0.057,0.009
14.67,0,2.932,0.055,0.008
15.0,0,2.937,0.055,0.008
15.13,0,2.977,0.056,0.008
15.52,0,2.965,0.056,0.008
15.6,0,3.013,0.057,0.008
16.55,0,2.900,0.055,0.008
17.36,0,2.824,0.053,0.008
17.44,0,2.868,0.054,0.008
18.36,0,2.779,0.052,0.007
18.39,0,2.829,0.053,0.007
18.44,0,2.875,0.054,0.007
18.56,0,2.911,0.055,0.007
19.18,0,2.870,0.054,0.007
19.26,0,2.909,0.055,0.007
20.45,0,2.750,0.052,0.007
21.08,0,2.750,0.052,0.007
21.27,0,2.800,0.053,0.007
21.78,0,2.800,0.053,0.007
22.29,0,2.850,0.054,0.007
22.29,0,2.850,0.054,0.007
22.38,0,2.900,0.055,0.007
22.53,0,2.950,0.056,0.007
22.55,0,3.000,0.057,0.007
22.64,0,3.000,0.057,0.007
22.67,0,3.050,0.058,0.007
22.84,0,3.050,0.058,0.007
23.4,0,2.900,0.055,0.007
23.77,0,2.900,0.055,0.007
23.88,0,2.950,0.056,0.007
23.96,0,3.000,0.057,0.007
24.01,0,3.050,0.058,0.007
25.38,0,3.100,0.058,0.007
25.73,0,3.100,0.058,0.007
26.46,0,3.100,0.058,0.007
26.9,0,3.050,0.058,0.007
27.04,0,3.100,0.058,0.007
27.48,0,3.050,0.058,0.007
27.64,0,3.050,0.058,0.007
28.02,0,3.000,0.057,0.007
28.22,0,3.000,0.057,0.007
28.36,0,2.950,0.056,0.007
28.55,0,3.000,0.057,0.007
28.61,0,3.050,0.058,0.007
29.22,0,2.900,0.055,0.007
30.12,0,2.750,0.052,0.007
30.28,0,2.800,0.053,0.007
30.32,0,2.750,0.052,0.007
30.47,0,2.750,0.052,0.007
30.69,0,2.800,0.053,0.007
31.33,0,2.750,0.052,0.007
32.91,0,2.650,0.050,0.007
33.48,0,2.600,0.049,0.007
33.48,0,2.650,0.050,0.007
34.08,0,2.650,0.050,0.007
34.4,0,2.700,0.051,0.007
34.69,0,2.700,0.051,0.007
35.07,0,2.700,0.051,0.007
35.11,0,2.700,0.051,0.007
35.18,0,2.750,0.052,0.007
35.23,0,2.800,0.053,0.007
35.46,0,2.850,0.054,0.007
35.47,0,2.900,0.055,0.007
35.85,0,2.850,0.054,0.007
35.93,0,2.900,0.055,0.007
35.94,0,2.950,0.056,0.007
36.07,0,3.000,0.057,0.007
36.07,0,3.050,0.058,0.007
36.35,0,3.100,0.058,0.007
36.82,0,3.100,0.058,0.007
36.98,0,3.150,0.059,0.007
37.57,0,3.100,0.058,0.007
37.63,0,3.150,0.059,0.007
37.65,0,3.200,0.060,0.008
37.73,0,3.250,0.061,0.008
37.9,0,3.300,0.062,0.008
38.0,0,3.350,0.063,0.008
38.98,0,3.200,0.060,0.008
39.2,0,3.200,0.060,0.008
40.23,0,3.200,0.060,0.008
41.23,0,3.100,0.058,0.007
41.56,0,3.150,0.059,0.007
41.62,0,3.200,0.060,0.008
41.89,0,3.200,0.060,0.008
42.04,0,3.250,0.061,0.008
42.13,0,3.300,0.062,0.008
42.43,0,3.250,0.061,0.008
42.54,0,3.200,0.060,0.008
44.05,0,2.850,0.054,0.007
44.43,0,2.900,0.055,0.007
45.99,0,2.850,0.054,0.007
46.22,0,2.900,0.055,0.007
46.63,0,2.900,0.055,0.007
46.8,0,2.950,0.056,0.007
47.07,0,2.900,0.055,0.007
47.16,0,2.950,0.056,0.007
47.16,0,2.950,0.056,0.007
47.43,0,2.950,0.056,0.007
47.77,0,2.950,0.056,0.007
47.9,0,3.000,0.057,0.007
48.08,0,3.000,0.057,0.007
48.11,0,3.050,0.058,0.007
48.32,0,3.000,0.057,0.007
48.35,0,3.050,0.058,0.007
49.28,0,2.950,0.056,0.007
49.42,0,3.000,0.057,0.007
49.43,0,3.050,0.058,0.007
50.27,0,3.000,0.057,0.007
50.71,0,2.900,0.055,0.007
50.98,0,2.950,0.056,0.007
51.63,0,2.950,0.056,0.007
52.26,0,3.000,0.057,0.007
52.3,0,3.050,0.058,0.007
54.43,0,2.850,0.054,0.007
54.74,0,2.850,0.054,0.007
54.99,0,2.900,0.055,0.007
55.03,0,2.900,0.055,0.007
55.25,0,2.800,0.053,0.007
55.26,0,2.850,0.054,0.007
55.73,0,2.800,0.053,0.007
56.09,0,2.600,0.049,0.007
56.46,0,2.600,0.049,0.007
56.56,0,2.650,0.050,0.007
56.65,0,2.700,0.051,0.007
56.88,0,2.700,0.051,0.007
57.04,0,2.700,0.051,0.007
57.25,0,2.750,0.052,0.007
58.61,0,2.500,0.047,0.007
58.73,0,2.550,0.048,0.007
58.83,0,2.600,0.049,0.007
59.34,0,2.550,0.048,0.007
59.41,0,2.600,0.049,0.007
59.68,0,2.650,0.050,0.007
59.83,0,2.700,0.051,0.007
60.22,0,2.700,0.051,0.007
60.88,0,2.750,0.052,0.007
60.98,0,2.800,0.053,0.007
61.08,0,2.850,0.054,0.007
63.3,0,2.500,0.047,0.007
63.58,0,2.550,0.048,0.007
64.4,0,2.550,0.048,0.007
64.67,0,2.550,0.048,0.007
65.76,0,2.600,0.049,0.007
65.76,0,2.600,0.049,0.007
66.41,0,2.550,0.048,0.007
67.44,0,2.350,0.044,0.006
69.54,0,1.950,0.037,0.006
69.86,0,2.000,0.038,0.006
69.91,0,2.050,0.039,0.006
70.0,0,2.100,0.040,0.006
70.44,0,2.100,0.040,0.006
70.56,0,2.150,0.041,0.006
70.76,0,2.150,0.041,0.006
71.0,0,2.150,0.041,0.006
71.03,0,2.200,0.041,0.006
71.43,0,2.250,0.042,0.006
71.74,0,2.250,0.042,0.006
71.93,0,2.300,0.043,0.006
72.14,0,2.350,0.044,0.006
72.26,0,2.300,0.043,0.006
72.62,0,2.350,0.044,0.006
72.68,0,2.400,0.045,0.007
72.98,0,2.450,0.046,0.007
73.29,0,2.500,0.047,0.007
73.65,0,2.550,0.048,0.007
73.84,0,2.600,0.049,0.007
73.96,0,2.650,0.050,0.007
74.28,0,2.700,0.051,0.007
74.38,0,2.750,0.052,0.007
74.43,0,2.750,0.052,0.007
74.46,0,2.800,0.053,0.007
74.47,0,2.850,0.054,0.007
75.17,0,2.750,0.052,0.007
75.77,0,2.650,0.050,0.007
76.32,0,2.650,0.050,0.007
76.41,0,2.650,0.050,0.007
76.63,0,2.600,0.049,0.007
77.68,0,2.500,0.047,0.007
78.26,0,2.550,0.048,0.007
78.4,0,2.600,0.049,0.007
78.56,0,2.650,0.050,0.007
78.62,0,2.650,0.050,0.007
